"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","86429511.5642831","43631549.5893181","43333739.8715799","-","-","1701799.97673556","1709013.07101593","43631549.5893181","-","43631549.5893181","0.00000","-",0.533924,"-","42797961.974965","22850859.05"
"LINK","2038742.99040092","3757160.87675082","3742524.30220234","27961753.7293781","2038742.99040092","1092220.99783016","1095818.06310146","3757160.87675082","2038742.99040092","-","0.54263","-1718417.88634991",7.28,"-12510082.21","-","-"
"DAI","5826792.5219896","6918778.12859764","6885056.85562369","8456304.62607179","4543715.75438008","2769744.33243332","2778453.58641473","6918778.12859764","5826792.5219896","-","0.84217","-1091985.60660804",1.001,"-1093077.59","-","-"
"wBTC","172.57875621","336.31054463","336.20101103","7670893.34697085","172.57875621","141.30665391","141.31593825","336.31054463","172.57875621","-","0.51315","-163.73178842",23871,"-3908441.52","-","-"
"ICHI","721167.107949049","1096997.2213654","1096396.99990003","2361506.9976993","250505.86522816","151669.717236063","151689.02129771","1096997.2213654","721167.107949049","-","0.65740","-375830.113416348",5.07,"-1905458.68","-","-"
"ETH","8821.45219920387","17108.2555666065","17068.6534269467","26364889.4486472","8821.45219920387","5645.90496365203","5654.26714110638","17108.2555666065","8821.45219920387","-","0.51563","-8286.80336740259",1599.47,"-13254493.38","-","-"
"USDC","1413976.725646","2636241.155254","2630868.554451","2642833.69474917","1413976.725645","2247363.360705","2247709.168051","2636241.155254","1413976.725646","-","0.53636","-1222264.429608",1.001,"-1223486.69","-","-"
"vBNT","3470155.5936725","3518953.54853625","3502249.10423509","1251925.14941429","1552000.40428586","474764.700061048","476293.996165289","3518953.54853625","3470155.5936725","-","0.98613","-48797.9548637541",0.430915,"-21027.77","-","-"
"WOO","5934423.2598003","7991833.39900071","7986974.01887239","1826981.54236117","4768623.6136776","2265932.49671944","2266363.76758376","7991833.39900071","5934423.2598003","-","0.74256","-2057410.13920042",0.206766,"-425402.46","-","-"
"wNXM","26917.3601550871","70715.2265160919","70229.0702842075","607687.980393958","20960.173422266","1891.13798596581","1894.27460756361","70715.2265160919","26917.3601550871","-","0.38064","-43797.8663610048",15.5,"-678866.93","-","-"
"TRAC","248275.66565968","269585.646332277","268196.533850001","114030.957609845","248275.66565968","19904.4465544581","20000.","269585.646332277","248275.66565968","-","0.92095","-21309.9806725971",0.244502,"-5210.33","-","-"
"HOT","240085657.64304","308453048.366748","308407908.121308","59213.2270729961","13764678.3361371","-","-","308453048.366748","240085657.64304","-","0.77835","-68367390.7237087",0.00230825,"-157809.03","-","-"
"PHTR","15120260.1114575","15177804.0217729","15176812.0537952","22922.4024461057","389463.6718856","-","-","15177804.0217729","15120260.1114575","-","0.99621","-57543.9103153295",0.03010379,"-1732.29","-","-"
"BAT","758028.750026161","2351859.63028946","2349565.76569451","607476.325648057","758028.750026161","172336.331477848","172448.807264385","2351859.63028946","758028.750026161","-","0.32231","-1593830.8802633",0.427099,"-680723.58","-","-"
"BORING","36949606.0306909","43964548.0984286","43960684.4244356","25520.2070365793","1225684.85997489","-","-","43964548.0984286","36949606.0306909","-","0.84044","-7014942.0677376",0.01093265,"-76691.91","-","-"
"MFG","42127534.5240724","45199105.5714997","45197471.3712304","27292.9556529269","1294775.9141351","-","-","45199105.5714997","42127534.5240724","-","0.93204","-3071571.04742733",0.01122849,"-34489.10","-","-"
"ENJ","1489952.76552537","5124471.88446279","5117078.90575743","1769972.08486803","1489952.76552537","356645.823565345","356997.445021724","5124471.88446279","1489952.76552537","-","0.29075","-3634519.11893743",0.628344,"-2283728.28","-","-"
"REQ","1644284.23880556","1871182.7839722","1859222.12880398","389370.97874879","1644284.23880556","164024.663179135","164187.927795874","1871182.7839722","1644284.23880556","-","0.87874","-226898.545166635",0.12899,"-29267.64","-","-"
"LQTY","197704.856789957","202658.373454453","202577.243861729","55125.1379374883","30678.2780133164","-","-","202658.373454453","197704.856789957","-","0.97556","-4953.51666449623",0.970854,"-4809.14","-","-"
"MTA","503.807611050656","503.952129809124","503.952129809124","-","-","-","-","503.952129809124","503.807611050656","-","0.99971","-0.144518758467523",0.1513,"-0.02","-","-"
"INDEX","8763.49695745258","10485.1307412528","10351.1708818023","62356.9180083931","8763.49695745258","-","-","10485.1307412528","8763.49695745258","-","0.83580","-1721.63378380019",3.74,"-6438.91","-","-"
"YFI","5.94207733522269","5.93670500042614","5.93664548514636","39651.0448969661","3.10749992963137","5.32661097700123","5.32661097700123","5.93670500042614","5.93670500042614","-","1.00000","-",6845.86,"-","0.00537233479655341","36.78"
"AMP","30514550.4056268","49813658.4489924","49684173.9281746","555362.842983054","30514550.4056268","46719821.7207639","46832495.057497","49813658.4489924","30514550.4056268","-","0.61257","-19299108.0433656",0.0096792,"-186799.93","-","-"
"MATIC","193272.57227646","790253.287012303","789381.95229519","332987.202368394","193272.57227646","86075.3087705078","86102.3573491977","790253.287012303","193272.57227646","-","0.24457","-596980.714735843",0.912038,"-544469.10","-","-"
"ANKR","277711.570043336","283054.173882213","283031.016951922","17016.7718043512","277711.570043336","-","-","283054.173882213","277711.570043336","-","0.98113","-5342.60383887731",0.03190123,"-170.44","-","-"
"ROOK","117.088123518593","117.093834900634","117.093834900634","-","-","27.1053559953289","27.1053559953289","117.093834900634","117.088123518593","-","0.99995","-0.00571138204110984",31.3,"-0.18","-","-"
"RAIL","-","-","-","-","-","-","-","-","-","-","-","-",1.045,"-","-","-"
"AAVE","709.930837355896","830.055666639541","829.329251062451","129575.494275203","709.930837355896","41.3994560275269","41.4123022215753","830.055666639541","709.930837355896","-","0.85528","-120.124829283644",96.14,"-11548.80","-","-"
"MPH","15612.3105284334","17871.8350112935","17863.3530861035","85530.3269554144","15612.3105284334","2713.66707297255","2714.31892735904","17871.8350112935","15612.3105284334","-","0.87357","-2259.52448286011",2.91,"-6575.22","-","-"
"MKR","40.0965784005542","114.573256373516","114.436458841874","77515.969543419","40.0965784005542","31.1676227711645","31.1991052486772","114.573256373516","40.0965784005542","-","0.34996","-74.4766779729613",1025.4,"-76368.39","-","-"
"DIP","1459666.87569743","2185346.77545543","2183309.93017342","65704.0829628994","1459666.87569743","397466.748241726","397707.437028928","2185346.77545543","1459666.87569743","-","0.66793","-725679.899758009",0.02424955,"-17597.41","-","-"
"MANA","187900.572356044","326173.951393619","326133.718456099","346666.219891411","187900.572356044","190255.057865449","190258.935433276","326173.951393619","187900.572356044","-","0.57607","-138273.379037576",0.983618,"-136008.18","-","-"
"QNT","1371.92375542457","3612.44720860984","3608.01906328365","275148.301485774","1371.92375542457","1097.2938531376","1097.60310888513","3612.44720860984","1371.92375542457","-","0.37978","-2240.52345318527",107.29,"-240385.76","-","-"
"NMR","251.329090818462","251.294884809284","251.294884809284","-","-","-","-","251.294884809284","251.294884809284","-","1.00000","-",14.9,"-","0.0342060091783252","0.51"
"SNX","40271.871335373","46028.6465050167","45594.1966479","233131.038702399","40271.871335373","661.336509277335","665.767003368149","46028.6465050167","40271.871335373","-","0.87493","-5756.77516964375",3.11,"-17903.57","-","-"
"LPL","57737.9641270383","98993.7374353855","97372.5507779584","408036.991654389","57737.9641270383","8145.08723778873","8160.86090652705","98993.7374353855","57737.9641270383","-","0.58325","-41255.7733083471",3.81,"-157184.50","-","-"
"PSP","63169.6503469291","63161.5619400268","63161.5619400268","-","-","-","-","63161.5619400268","63161.5619400268","-","1.00000","-",0.02714201,"-","8.08840690228178","0.22"
"LYRA","3731.36814873417","-","-","-","-","-","-","-","-","-","-","-",0.062861,"-","-","-"
"GTC","14587.7475817054","14749.9712597099","14748.3783495132","20721.1664419657","4035.27475495709","-","-","14749.9712597099","14587.7475817054","-","0.98900","-162.223678004416",2.68,"-434.76","-","-"
"1INCH","2000.89666997739","1970.73765113616","1970.73765113616","-","-","-","-","1970.73765113616","1970.73765113616","-","1.00000","-",0.719595,"-","30.1590188412283","21.70"
"RLC","73761.55242134","79815.240203231","79814.415314911","20005.462036805","10415.9477757","15294.710182425","15294.710182425","79815.240203231","73761.55242134","-","0.92415","-6053.687781891",1,"-6053.69","-","-"
"TEMP","369016.734706737","479194.053940929","478917.81154993","39421.1094401512","369016.734706737","-","-","479194.053940929","369016.734706737","-","0.77008","-110177.319234192",0.056714,"-6248.60","-","-"
"REN","354142.319152712","401306.20512497","400756.869520587","106040.944997262","354142.319152712","5292.02535273668","5295.88906476736","401306.20512497","354142.319152712","-","0.88247","-47163.8859722577",0.159902,"-7541.60","-","-"
"COMP","38.4223741583271","37.1586757650452","37.1586757650452","-","-","-","-","37.1586757650452","37.1586757650452","-","1.00000","-",59.78,"-","1.26369839328185","75.54"
"SFI","41.8344171587561","41.9911833646989","41.9911833646989","-","-","-","-","41.9911833646989","41.8344171587561","-","0.99627","-0.156766205942751",53.47,"-8.38","-","-"
"UNI","4015.06474866347","9488.39610662769","9481.51481020004","55742.40176115","4015.06474866347","3401.058761953","3402.14394860824","9488.39610662769","4015.06474866347","-","0.42316","-5473.33135796421",7.39,"-40447.92","-","-"
"ZCN","308353.265837978","906639.169030238","905172.396560493","134915.290495768","308353.265837978","13476.8856811069","13486.604734393","906639.169030238","308353.265837978","-","0.34011","-598285.90319226",0.228052,"-136440.30","-","-"
"GRT","130067.827499063","134207.799317264","134195.488664344","28350.6850945339","130067.827499063","13822.5594386915","13822.5594386915","134207.799317264","130067.827499063","-","0.96915","-4139.97181820173",0.114036,"-472.11","-","-"
"renBTC","0.43347824","0.43348118","0.43348118","-","-","0.01780006","0.01780006","0.43348118","0.43347824","-","0.99999","-0.00000294",23930,"-0.07","-","-"
"RARI","7501.06077569094","7545.31947609552","7541.72005842373","20234.1630769695","3899.28860738593","-","-","7545.31947609552","7501.06077569094","-","0.99413","-44.258700404578",2.85,"-126.14","-","-"
"INST","39505.1185548718","69185.0916920283","69183.7243961842","21827.6101862319","10682.0407289586","-","-","69185.0916920283","39505.1185548718","-","0.57101","-29679.9731371565",0.980587,"-29103.80","-","-"
"ARCONA","382934.086768838","447981.838335845","441315.243226275","65922.9817932136","382934.086768838","-","-","447981.838335845","382934.086768838","-","0.85480","-65047.7515670064",0.095632,"-6220.65","-","-"
"eRSDL","631300.748076476","628131.545551965","628131.545551965","-","-","240362.86038046","240362.86038046","628131.545551965","628131.545551965","-","1.00000","-",0.00861122,"-","3169.20252451156","27.29"
"PLR","-","-","-","-","-","-","-","-","-","-","-","-",0.00571355,"-","-","-"
"LRC","2303.75094225714","2230.30386232754","2230.30386232754","-","-","-","-","2230.30386232754","2230.30386232754","-","1.00000","-",0.457305,"-","73.4470799295996","33.59"
"KTN","-","-","-","-","-","-","-","-","-","-","-","-",0.690122,"-","-","-"
"DDX","12702.2417153033","13738.4544555949","13629.4220349483","21874.8509289136","12702.2417153033","-","-","13738.4544555949","12702.2417153033","-","0.92458","-1036.21274029161",0.882134,"-914.08","-","-"
"MLN","31.6194314663431","36.6219315209515","36.6219315209515","-","-","-","-","36.6219315209515","31.6194314663431","-","0.86340","-5.00250005460844",26.64,"-133.27","-","-"
"IDLE","-","-","-","-","-","-","-","-","-","-","-","-",0.286912,"-","-","-"
"SATA","993190.083175117","1036410.93035748","1036010.26036416","75802.7616450276","993190.083175117","-","-","1036410.93035748","993190.083175117","-","0.95830","-43220.8471823583",0.04134052,"-1786.77","-","-"
"USDT","1725100.806671","2893633.859357","2893617.277247","72746.8480175083","38971.213734","2345275.298919","2345275.298919","2893633.859357","1725100.806671","-","0.59617","-1168533.052686",1,"-1168533.05","-","-"
"OCEAN","591561.012461964","592746.37018757","592722.422978454","160374.931245503","446455.650570398","16702.6611031078","16702.6611031078","592746.37018757","591561.012461964","-","0.99800","-1185.35772560659",0.191804,"-227.36","-","-"
"BMI","16564.3628184903","16564.3628184903","16564.3628184903","-","-","-","-","16564.3628184903","16564.3628184903","-","1.00000","-1.10000000000000e-17",0.02050725,"-0.00","-","-"
"NDX","390.610678740748","390.689347845296","390.689347845296","-","-","113.751340014564","113.751340014564","390.689347845296","390.610678740748","-","0.99980","-0.0786691045484267",0.416253,"-0.03","-","-"
"FXS","1.21200066144538","-","-","-","-","-","-","-","-","-","-","-",6.83,"-","-","-"
"SHIBGF","50342455389176.1","52069845361383.5","52027663462186.3","36168.9865424805","21965028043552.2","-","-","52069845361383.5","52069845361383.5","-","1.00000","-",8.90566e-10,"-","-","-"
"DATA","96794.0692356212","113309.551033847","113309.551033847","-","-","-","-","113309.551033847","96794.0692356212","-","0.85424","-16515.4817982259",0.03532332,"-583.38","-","-"
"WXT","23638.6074339439","96697.928676","96697.928676","-","-","-","-","96697.928676","23638.6074339439","-","0.24446","-73059.3212420561",0.00762814,"-557.31","-","-"
"APW","4344.05564624151","4310.77116437147","4310.77116437147","-","-","-","-","4310.77116437147","4310.77116437147","-","1.00000","-",0.206501,"-","33.2844818700377","6.87"
"rETH","0.000276698179471489","-","-","-","-","-","-","-","-","-","-","-",1624.23,"-","-","-"
"RPL","4490.64488943051","7635.7280735275","7630.91968208498","69200.7435040177","2023.74956494874","2190.80001324968","2191.71118469386","7635.7280735275","4490.64488943051","-","0.58811","-3145.08318409699",18.74,"-58938.86","-","-"
"wstETH","17.0930962885963","17.8593278912474","17.8582334485353","22196.9461732584","7.11301920492212","-","-","17.8593278912474","17.0930962885963","-","0.95710","-0.766231602651075",1685.62,"-1291.58","-","-"
"xSUSHI","-","-","-","-","-","-","-","-","-","-","-","-",1.89,"-","-","-"
"FARM","41.7536744414928","41.7538412492737","41.7538412492737","-","-","-","-","41.7538412492737","41.7536744414928","-","1.00000","-0.000166807780835439",47.87,"-0.01","-","-"
"DYDX","100.451649823992","100.475164680129","100.475164680129","-","-","-","-","100.475164680129","100.451649823992","-","0.99977","-0.023514856137815",2.3,"-0.05","-","-"