"Base Token","Pool Token Balance","Pool Token"
"LINK","2969568.020334207681762503","0x516c164A879892A156920A215855C3416616C46E"
"BNT","7818532.836432661536106109","0xAB05Cf7C6c3a288cd36326e4f7b8600e7268E344"
"DAI","7459353.525707158259467283","0x06CD589760Da4616a0606da1367855808196C352"
"wBTC","223.45494338","0x2CE37087559CBe8022FA5D70A0c502B7AE03F290"
"ICHI","129076.570749905","0x36FAbE4cAeF8c190550b6f93c306A5644E7dCef6"
"ETH","23508.460506160489253882","0x256Ed1d83E3e4EfDda977389A5389C3433137DDA"
"USDC","657652.081269","0xAd7bEc56506D181F994ec380b1BA34fb3FbfBaD3"
"SPELL","0.000000000000000000","0x0000000000000000000000000000000000000000"
"vBNT","527347.184292175582488044","0x056B4873DCFe68041448bFd40262AEC8C3a09BB8"
"WOO","2944640.653288601014441408","0x2FC8bC3eE171eD5610ba3093909421E90b47Fc07"
"wNXM","156680.170019081941760901","0xa72279697Db11F6f1ca9C3e666707EDFC477C6D1"
"TRAC","3268993.206579200196545220","0x23dBfe6E3104D059fd6F1ad3Eafe06BE448e4CA8"
"HOT","0.000000000000000000","0x70a7e8C220AAFD32ad280d6F666B9Ffdf10fBb1E"
"PHTR","0.000000000000000000","0x5BE7b2244Fb0F4aEDDcDfA2dFAEBAD54990adbF3"
"BAT","90270.340076810771321501","0xc70d66889C6cD013CC549dAF0BdC96127aB1C9f0"
"BORING","0.000000000000000000","0x9C0517D3426ab7d835223192891B7D6eA7A711d7"
"MFG","0.000000000000000000","0xa3d1cf298a0de8784e4ADCFC3D1cD95F28488ac4"
"ENJ","273850.625202427354502145","0x9250FD963A7C7D23A1e5CA9aDe6c43cF5E846b20"
"REQ","1111282.879110318068738655","0x465Ed8e9f989d509efa38437f7bf610873D91309"
"LQTY","0.000000000000000000","0xcF7b9deE192F1051c1110C4a97c2899F25E182Dc"
"MTA","0.000000000000000000","0x69BD8A94453Aad1674b79bAEf2bb4c063c08a7a5"
"INDEX","12226.643041073138453953","0x1cB8630Bbb5d3d693a208D45c450dd6Ea56c0d42"
"YFI","11.255109070005345547","0x71240f297d4e1Dcd8e78BFD0C082b5A8C3E398fF"
"AMP","7911783.650399087303487973","0x9c6a15350FE6AF286302497A4c2026254980511a"
"MATIC","115403.257299132968306301","0xAdf829f541a57Ef2af4d8A07a7920F7229684dDA"
"ANKR","14577.522193274358349090","0x260a4D74cd0a207Fc98290bdC7c51700E59de432"
"ROOK","178.208382487237482765","0xE4BeCD393eD7cfDEEf9F513A3fE6BbAAc923caA9"
"RAIL","24810.007958946124797425","0x680D95629FDA70cdF8B5F72e96ca8891e730D6d8"
"AAVE","210.214373899248978635","0xA11f858A06bDCC797c8824a01eF154B311576E03"
"MPH","6161.492333718791964079","0x8CDCE5c7e8738da11C66385347DcD928a3530c77"
"MKR","332.530289008919484483","0x40dFB80A253414C07e8189B863424Fb19521749b"
"DIP","2809615.038814074344581042","0xBB309a037c5f2A6a3b84F54AC8754C90e77349D0"
"MANA","197702.192059334290269577","0xD56410DbB0E148a7D8476A169F9afe715E315BB9"
"QNT","2183.804255447515492820","0x8B2368Faf88A4Dd5B61C52B5862952331293b349"
"NMR","46.271069113538058754","0x40153a12B125f37D43d7CCE0c701d7AeDC0B85D4"
"SNX","19193.735447883764764090","0xd01BA6A1662437Ff2A0C008498f9Edb98C49D68C"
"LPL","49053.563084105841064184","0x5d74b268d60D70cB35487f8c7A2dEf58c13B5A36"
"PSP","4387.587779542649833482","0xB3093387E3d7dA06D17bA1E4538219a06BeD31B3"
"LYRA","1649252.147553981573846875","0x3b99d8037c32B908504552aF3BADeA2918c3C8ff"
"GTC","315.151741117917512827","0xe135D86fac3838bb47690cc2d913B1264E9a3A57"
"1INCH","9072.837441750909156986","0x6E1d23c4a06159986A852B540254E231589FdEB8"
"RLC","0.000000000","0x2d9D99D4Aac96987637F0Be8D1fa9930e0C4447d"
"TEMP","139271.123643923028724323","0x90872554Ca8bEAa24FA1E29111428F8581A5Dc3F"
"REN","395125.393594299127822333","0x49BDFdf9d103610413BE6ecB25c194Ce1d803BD3"
"COMP","410.748340440206746679","0x739682EF459F2288d64d15a16890804B715c058E"
"SFI","0.000000000000000000","0xb70fa6A2ddb5185756BC016F96D96c2201015972"
"UNI","3923.272710573293823428","0x05bf6ca5F348d9575f360d6e29775F2477047a8D"
"ZCN","279444.9696428394","0xb6279f7Ca49876f9529fDc7983d65A03A819e2d0"
"GRT","18302.343073517137274347","0x0C39C7F6b24ed0E30b453B83CF5d4CF2c5BD3A9E"
"renBTC","0.01780006","0x651e0a4bc7F13889A0d38dd72F399b4b8d2927b5"
"RARI","0.000000000000000000","0x6d223E23c9F945bCf87c6c151A4DDa69589d33cA"
"INST","0.000000000000000000","0x86284E900e93748A52D86153ce7B25FaBD04308C"
"ARCONA","0.000000000000000000","0xD3584D9FDFf3f6A23e2Bad04d3cb6aD56ed5F2CE"
"eRSDL","1451810.069529184663270888","0x4e96C8a57bcdf31d9C89b3DC9AdA6809050863d1"
"PLR","0.000000000000000000","0x3BCC0ceb27B94526C46c126C84992939e32a384c"
"LRC","30258.834719550000000000","0xFf76dDaac3801220EeFd4cf222d0bBb718814151"
"KTN","1600.364174146224606645","0xaEFC24b05099170d5981c1ED741D288EB6b2C578"
"DDX","71257.169073556471919940","0xa76acB9EC942a2a47689DCe280111e9C9A0eA636"
"MLN","414.393846781394866417","0x1D8c75890cEd80F10b18234158B0f39cd0dF9C67"
"IDLE","0.000000000000000000","0x700616e07eD859231562304A5eB58b498e231b43"
"SATA","192700.655149136484077369","0xCaf22463E210bD5e177d1a07A5b9afC8Eec54bA8"
"USDT","868838.861019","0xF4D96e11B531b99F1F04Fbd77d39859A7689348d"
"OCEAN","74073.203380052398333911","0xE56249D86e692F6cD9AaB091fc7b08eDFE03B7CB"
"BMI","0.000000000000000000","0xC9F704d7FC239A8Fd795F8A57B66B83498558175"
"NDX","0.000000000000000000","0xc6Dc200a627D6c8E91179b2619F2Ad17D6656677"
"FXS","490.814981436962200388","0xaD6DD99514366C1a1388a104861848b2971eEEbE"
"SHIBGF","13681701352236.732272894337833436","0xb0bf2dA95a49D247331b713b0A2f3161f0E35De1"
"DATA","39708.078112172501601143","0x82031B1Fc4469C4895FB4fDCf37a73E122190455"
"WXT","125033.274638975550392475","0xFE5fF0fda76EaE4Fc1fd361aA2aE69a05AB7C503"
"APW","78516.866546575098589912","0x0A95920Cd600478e2AF01b900e185cAB29c92BC2"
"rETH","49.288640500909861292","0xCDD8d805553899d9C89fFabB03B42a1f6ad983fc"
"THALES","498289.912191089276065052","0xE783e6a78431E07379a5a1Ad77Da04Dddd1785a8"
"EWTB","6000.000000000000000000","0xf83d4d92cA8F75a7DEe85e6434a2e231F23261fD"
"RPL","4167.673481897155064256","0x7bb2464326E623A353E00a37FA557628E865f014"
"wstETH","6.017657924427268510","0x5cc2C42BB9Ff433eEe306FfCe898C2de7866A0cd"
"xSUSHI","111.535514676308555012","0xb89BC052D590A56B5062D6f0022fAA8C005566e6"
"DRC","10037494","0x7956190E453b955B4410F003c479F8DFeeE944e3"
"FARM","5.784217153712789804","0x4E9A47aa88Dea5902001748a21869dE19992643e"
"DYDX","1077.454132142732935860","0xbB200f245d8E8A29Ddf9b3899c29EBeA565852a9"